ab｜복근,종류,수준
misery｜비참함,낱말,
modest｜겸손한,낱말,
moment｜순간,낱말,
monkey｜원숭이,낱말,
months｜달들,낱말,
mother｜어머니,낱말,
motion｜운동,낱말,
motive｜동기,낱말,
murder｜살인,낱말,
muscle｜근육,낱말,
mutual｜상호의,낱말,
myself｜나자신,낱말,
narrow｜좁은,낱말,
native｜원주민,낱말,
nature｜자연,낱말,
nearly｜거의,낱말,
needle｜바늘,낱말,
nephew｜조카(남),낱말,
nerves｜신경들,낱말,
nicely｜멋지게,낱말,
normal｜정상의,낱말,
notice｜알아채다,낱말,
number｜숫자,낱말,
object｜물체,낱말,
obtain｜얻다,낱말,
office｜사무실,낱말,
online｜온라인,낱말,
openly｜공개적으로,낱말,
option｜선택지,낱말,
orange｜오렌지,낱말,
origin｜기원,낱말,
outfit｜의상,낱말,
output｜출력,낱말,
oyster｜굴,낱말,
packet｜패킷,낱말,
palace｜궁전,낱말,
parent｜부모,낱말,
parrot｜앵무새,낱말,
partly｜부분적으로,낱말,
patent｜특허,낱말,
pebble｜조약돌,낱말,
people｜사람들,낱말,
period｜기간,낱말,
permit｜허가하다,낱말,
person｜사람,낱말,
phrase｜구절,낱말,
pirate｜해적,낱말,
planet｜행성,낱말,
player｜선수,낱말,
please｜부탁하다,낱말,
pledge｜서약하다,낱말,
plenty｜풍부함,낱말,
pocket｜주머니,낱말,
police｜경찰,낱말,
polish｜광택내다,낱말,
portal｜포털,낱말,
poster｜포스터,낱말,
potato｜감자,낱말,
powder｜가루,낱말,
prefer｜선호하다,낱말,
pretty｜예쁜,낱말,
priest｜신부,낱말,
prison｜감옥,낱말,
profit｜이익,낱말,
proper｜적절한,낱말,
public｜공공의,낱말,
punish｜처벌하다,낱말,
purple｜보라색,낱말,
pursue｜추구하다,낱말,
puzzle｜퍼즐,낱말,
rabbit｜토끼,낱말,
racial｜인종의,낱말,
random｜무작위의,낱말,
rarely｜드물게,낱말,
rather｜오히려,낱말,
reason｜이유,낱말,
recall｜기억하다,낱말,
recent｜최근의,낱말,
record｜기록하다,낱말,
reduce｜줄이다,낱말,
reform｜개혁하다,낱말,
refuse｜거부하다,낱말,
region｜지역,낱말,
remain｜남다,낱말,
remind｜상기시키다,낱말,
remote｜원격의,낱말,
remove｜제거하다,낱말,
repair｜수리하다,낱말,
repeat｜반복하다,낱말,
rescue｜구조하다,낱말,
resort｜휴양지,낱말,
result｜결과,낱말,
retail｜소매,낱말,
return｜돌아오다,낱말,
reveal｜드러내다,낱말,
reward｜보상,낱말,
rhythm｜리듬,낱말,
ribbon｜리본,낱말,
rocket｜로켓,낱말,
rubber｜고무,낱말,
ruling｜지배하는,낱말,
runner｜달리기선수,낱말,
safely｜안전하게,낱말,
sample｜샘플,낱말,
saving｜저축,낱말,
school｜학교,낱말,
screen｜화면,낱말,
search｜검색하다,낱말,
season｜계절,낱말,
second｜두번째,낱말,
secret｜비밀,낱말,
select｜선택하다,낱말,
seller｜판매자,낱말,
senior｜선배의,낱말,
series｜시리즈,낱말,
settle｜정착하다,낱말,
severe｜심각한,낱말,
shadow｜그림자,낱말,
shower｜샤워,낱말,
signal｜신호,낱말,
silent｜조용한,낱말,
silver｜은,낱말,
simple｜간단한,낱말,
singer｜가수,낱말,
sister｜자매,낱말,
sketch｜스케치,낱말,
slowly｜천천히,낱말,
smooth｜부드러운,낱말,
social｜사회적인,낱말,
soften｜부드럽게하다,낱말,
source｜출처,낱말,
speech｜연설,낱말,
spirit｜정신,낱말,
splash｜첨벙,낱말,
spoken｜말해진,낱말,
spring｜봄/샘,낱말,
stable｜안정적인,낱말,
statue｜동상,낱말,
sticky｜끈적한,낱말,
stolen｜훔쳐진,낱말,
strain｜긴장,낱말,
stream｜개울,낱말,
street｜거리,낱말,
stress｜스트레스,낱말,
strict｜엄격한,낱말,
string｜줄,낱말,
strong｜강한,낱말,
struck｜부딪혔다,낱말,
stupid｜어리석은,낱말,
submit｜제출하다,낱말,
suburb｜교외,낱말,
sudden｜갑작스러운,낱말,
summer｜여름,낱말,
supply｜공급하다,낱말,
surely｜확실히,낱말,
survey｜조사하다,낱말,
switch｜전환하다,낱말,
symbol｜기호,낱말,
system｜시스템,낱말,
taking｜가져가는,낱말,
talent｜재능,낱말,
taught｜가르쳤다,낱말,
temple｜사원,낱말,
tender｜부드러운,낱말,
thanks｜감사,낱말,
theory｜이론,낱말,
thirty｜서른,낱말,
though｜비록,낱말,
threat｜위협,낱말,
throat｜목구멍,낱말,
throne｜왕좌,낱말,
timely｜적시의,낱말,
tissue｜조직/티슈,낱말,
toilet｜화장실,낱말,
tomato｜토마토,낱말,
tongue｜혀,낱말,
touchy｜민감한,낱말,
towing｜견인하는,낱말,
travel｜여행하다,낱말,
treaty｜조약,낱말,
tribal｜부족의,낱말,
triple｜세배의,낱말,
trophy｜트로피,낱말,
trying｜시도하는,낱말,
tunnel｜터널,낱말,
turtle｜거북이,낱말,
twelve｜열두,낱말,
twenty｜스물,낱말,
typing｜타이핑하는,낱말,
umpire｜심판,낱말,
unable｜할수없는,낱말,
unfair｜불공평한,낱말,
unique｜독특한,낱말,
unkind｜불친절한,낱말,
unlock｜잠금해제하다,낱말,
update｜업데이트하다,낱말,
upload｜업로드하다,낱말,
useful｜유용한,낱말,
vendor｜판매자,낱말,
versus｜대,낱말,
victim｜피해자,낱말,
violin｜바이올린,낱말,
vision｜시야,낱말,
visual｜시각적인,낱말,
volume｜음량/부피,낱말,
wander｜방황하다,낱말,
wealth｜부유함,낱말,
weekly｜매주의,낱말,
widely｜널리,낱말,
window｜창문,낱말,
winner｜우승자,낱말,
winter｜겨울,낱말,
within｜이내에,낱말,
wonder｜궁금하다,낱말,
wooden｜나무로만든,낱말,
worker｜노동자,낱말,
worthy｜가치있는,낱말,
writer｜작가,낱말,
yellow｜노란,낱말,
abandon｜포기하다,낱말,
ability｜능력,낱말,
absence｜부재,낱말,
absolve｜용서하다,낱말,
account｜계좌,낱말,
accused｜피고인,낱말,
achieve｜달성하다,낱말,
acquire｜획득하다,낱말,
adopted｜입양된,낱말,
advance｜전진하다,낱말,
alcohol｜알코올,낱말,
alerted｜경고된,낱말,
already｜이미,낱말,
altered｜변경된,낱말,
amazing｜놀라운,낱말,
amounts｜양들,낱말,
ancient｜고대의,낱말,
another｜또다른,낱말,
anxious｜불안한,낱말,
anybody｜누구든지,낱말,
anymore｜더이상,낱말,
applied｜적용된,낱말,
arrange｜정리하다,낱말,
arrival｜도착,낱말,
article｜기사,낱말,
aspirin｜아스피린,낱말,
assumed｜가정된,낱말,
assured｜확신된,낱말,
attache｜첨부물,낱말,
attempt｜시도하다,낱말,
attract｜끌다,낱말,
audible｜들을수있는,낱말,
average｜평균,낱말,
awesome｜굉장한,낱말,
awkward｜어색한,낱말,
balance｜균형,낱말,
balloon｜풍선,낱말,
banking｜은행업무,낱말,
bargain｜협상하다,낱말,
battery｜배터리,낱말,
because｜왜냐하면,낱말,
bedroom｜침실,낱말,
believe｜믿다,낱말,
beneath｜아래에,낱말,
besides｜게다가,낱말,
between｜사이에,낱말,
billion｜십억,낱말,
blanket｜담요,낱말,
blocked｜차단된,낱말,
blowing｜부는,낱말,
booklet｜소책자,낱말,
brother｜형제,낱말,
brought｜가져왔다,낱말,
browser｜브라우저,낱말,
builder｜건설자,낱말,
burning｜타는,낱말,
cabinet｜캐비닛,낱말,
calling｜부르는것,낱말,
camping｜캠핑,낱말,
captain｜선장,낱말,
caption｜자막,낱말,
careful｜조심스러운,낱말,
carrier｜운반자,낱말,
catalog｜카탈로그,낱말,
caution｜주의,낱말,
ceiling｜천장,낱말,
certain｜확실한,낱말,
chamber｜방/챔버,낱말,
charity｜자선,낱말,
chicken｜닭고기,낱말,
citizen｜시민,낱말,
classic｜고전적인,낱말,
climate｜기후,낱말,
closely｜밀접하게,낱말,
clothes｜옷들,낱말,
coached｜코치된,낱말,
comfort｜위로하다,낱말,
command｜명령하다,낱말,
comment｜댓글,낱말,
company｜회사,낱말,
compare｜비교하다,낱말,
compete｜경쟁하다,낱말,
complex｜복잡한,낱말,
concept｜개념,낱말,
concern｜걱정하다,낱말,
connect｜연결하다,낱말,
consent｜동의하다,낱말,
consist｜구성되다,낱말,
contact｜연락하다,낱말,
contain｜포함하다,낱말,
content｜내용,낱말,
context｜맥락,낱말,
control｜통제하다,낱말,
cooking｜요리하는,낱말,
correct｜올바른,낱말,
counter｜카운터,낱말,
country｜나라,낱말,
courage｜용기,낱말,
covered｜덮인,낱말,
creates｜만들다,낱말,
current｜현재의,낱말,
customs｜관세,낱말,
cutting｜자르는,낱말,
decided｜결정했다,낱말,
declare｜선언하다,낱말,
decline｜거절하다,낱말,
defense｜방어,낱말,
deliver｜배달하다,낱말,
density｜밀도,낱말,
deposit｜예금하다,낱말,
descent｜내려가다,낱말,
deserve｜받을만하다,낱말,
despite｜에도불구하고,낱말,
dessert｜디저트,낱말,
destiny｜운명,낱말,
digital｜디지털,낱말,
disease｜질병,낱말,
dismiss｜해고하다,낱말,
display｜전시하다,낱말,
dispute｜분쟁,낱말,
distant｜먼,낱말,
disturb｜방해하다,낱말,
diverse｜다양한,낱말,
divorce｜이혼,낱말,
drawing｜그림,낱말,
dreamed｜꿈꿨다,낱말,
dressed｜입은,낱말,
driving｜운전하는,낱말,
dropout｜중퇴자,낱말,
drought｜가뭄,낱말,
dynamic｜역동적인,낱말,
earning｜버는것,낱말,
eastern｜동쪽의,낱말,
economy｜경제,낱말,
elected｜선출된,낱말,
embrace｜포옹하다,낱말,
emotion｜감정,낱말,
enabled｜가능하게된,낱말,
endless｜끝없는,낱말,
enforce｜시행하다,낱말,
engaged｜약혼한,낱말,
enhance｜향상시키다,낱말,
examine｜검사하다,낱말,
excited｜흥분한,낱말,
exclude｜제외하다,낱말,
execute｜실행하다,낱말,
exhibit｜전시하다,낱말,
expense｜비용,낱말,
explain｜설명하다,낱말,
explore｜탐험하다,낱말,
express｜표현하다,낱말,
extreme｜극단적인,낱말,
factory｜공장,낱말,
failure｜실패,낱말,
fantasy｜환상,낱말,
fascist｜파시스트,낱말,
fashion｜패션,낱말,
fearful｜두려운,낱말,
feature｜특징,낱말,
feeling｜느낌,낱말,
fiction｜소설,낱말,
fighter｜전투기,낱말,
filling｜채우는,낱말,
finding｜발견하는,낱말,
fishing｜낚시,낱말,
fitness｜건강,낱말,
flavors｜맛들,낱말,
focused｜집중된,낱말,
footage｜영상,낱말,
foreign｜외국의,낱말,
forever｜영원히,낱말,
forming｜형성하는,낱말,
formula｜공식,낱말,
fortune｜행운,낱말,
forward｜앞으로,낱말,
fragile｜깨지기쉬운,낱말,
freedom｜자유,낱말,
freezer｜냉동고,낱말,
funding｜자금지원,낱말,
further｜더멀리,낱말,
gallery｜갤러리,낱말,
general｜일반적인,낱말,
genuine｜진짜의,낱말,
getting｜얻는것,낱말,
glowing｜빛나는,낱말,
gorilla｜고릴라,낱말,
grammar｜문법,낱말,
granary｜곡창,낱말,
granted｜허가된,낱말,
graphic｜그래픽,낱말,
gravity｜중력,낱말,
greatly｜크게,낱말,
grocery｜식료품점,낱말,
growing｜성장하는,낱말,
habitat｜서식지,낱말,
handful｜한줌,낱말,
hanging｜매달린,낱말,
happily｜행복하게,낱말,
harmony｜조화,낱말,
harvest｜수확하다,낱말,
heading｜제목,낱말,
healthy｜건강한,낱말,
heavily｜무겁게,낱말,
helpful｜도움이되는,낱말,
highway｜고속도로,낱말,
history｜역사,낱말,
holiday｜휴일,낱말,
however｜그러나,낱말,
hundred｜백,낱말,
hunting｜사냥하는,낱말,
husband｜남편,낱말,
illness｜질병,낱말,
imagine｜상상하다,낱말,
improve｜향상시키다,낱말,
include｜포함하다,낱말,
infancy｜유아기,낱말,
initial｜초기의,낱말,
inspect｜검사하다,낱말,
inspire｜영감주다,낱말,
install｜설치하다,낱말,
intense｜강렬한,낱말,
jointly｜공동으로,낱말,
journey｜여행,낱말,
justice｜정의,낱말,
keeping｜유지하는,낱말,
kitchen｜부엌,낱말,
knowing｜아는것,낱말,
landing｜착륙,낱말,
largely｜주로,낱말,
lasting｜지속하는,낱말,
laundry｜세탁물,낱말,
leading｜이끄는,낱말,
learned｜배웠다,낱말,
leather｜가죽,낱말,
leisure｜여가,낱말,
liberty｜자유,낱말,
library｜도서관,낱말,
limited｜한정된,낱말,
lineage｜혈통,낱말,
linking｜연결하는,낱말,
located｜위치한,낱말,
logging｜벌목,낱말,
loyalty｜충성심,낱말,
luggage｜수하물,낱말,
machine｜기계,낱말,
manager｜관리자,낱말,
mankind｜인류,낱말,
mapping｜지도제작,낱말,
married｜결혼한,낱말,
martial｜군사의,낱말,
maximum｜최대의,낱말,
meaning｜의미,낱말,
medical｜의학의,낱말,
meeting｜회의,낱말,
mention｜언급하다,낱말,
message｜메시지,낱말,
midterm｜중간고사,낱말,
minimum｜최소의,낱말,
mistake｜실수,낱말,
mixture｜혼합물,낱말,
monitor｜모니터,낱말,
morning｜아침,낱말,
mothers｜어머니들,낱말,
network｜네트워크,낱말,
neutral｜중립의,낱말,
nothing｜아무것도없는,낱말,
nowhere｜아무데도없는,낱말,
nuclear｜핵의,낱말,
nursing｜간호하는,낱말,
obvious｜명백한,낱말,
offense｜범죄,낱말,
officer｜장교,낱말,
offline｜오프라인,낱말,
ongoing｜진행중인,낱말,
opinion｜의견,낱말,
organic｜유기농의,낱말,
outcome｜결과,낱말,
outside｜밖에,낱말,
overlap｜겹치다,낱말,
package｜패키지,낱말,
painful｜고통스러운,낱말,
parking｜주차,낱말,
partner｜파트너,낱말,
passing｜통과하는,낱말,
patient｜환자,낱말,
pattern｜패턴,낱말,
penalty｜벌칙,낱말,
percent｜퍼센트,낱말,
perfect｜완벽한,낱말,
perform｜수행하다,낱말,
perhaps｜아마도,낱말,
physics｜물리학,낱말,
picking｜고르는,낱말,
picture｜사진,낱말,
plastic｜플라스틱,낱말,
playing｜노는것,낱말,
pleased｜기쁜,낱말,
plotted｜계획된,낱말,
plumber｜배관공,낱말,
pockets｜주머니들,낱말,
pointed｜날카로운,낱말,
popular｜인기있는,낱말,
portion｜부분,낱말,
poverty｜빈곤,낱말,
predict｜예측하다,낱말,
prepare｜준비하다,낱말,
present｜현재의,낱말,
prevent｜예방하다,낱말,
primary｜주요한,낱말,
printer｜프린터,낱말,
privacy｜프라이버시,낱말,
private｜사적인,낱말,
problem｜문제,낱말,
process｜과정,낱말,
produce｜생산하다,낱말,
program｜프로그램,낱말,
project｜프로젝트,낱말,
protect｜보호하다,낱말,
provide｜제공하다,낱말,
publish｜출판하다,낱말,
quality｜품질,낱말,
quickly｜빠르게,낱말,
quietly｜조용하게,낱말,
ranging｜범위의,낱말,
reading｜읽는것,낱말,
reality｜현실,낱말,
receive｜받다,낱말,
recover｜회복하다,낱말,
reflect｜반영하다,낱말,
regular｜규칙적인,낱말,
related｜관련된,낱말,
replace｜교체하다,낱말,
request｜요청하다,낱말,
require｜필요하다,낱말,
resolve｜해결하다,낱말,
respond｜응답하다,낱말,
restore｜복원하다,낱말,
retired｜은퇴한,낱말,
revenge｜복수,낱말,
rolling｜구르는,낱말,
rooftop｜옥상,낱말,
roughly｜대략,낱말,
running｜달리는,낱말,
savings｜저축,낱말,
section｜섹션,낱말,
seeking｜찾는것,낱말,
serious｜진지한,낱말,
service｜서비스,낱말,
setting｜설정,낱말,
several｜여러,낱말,
shelter｜대피소,낱말,
shorter｜더짧은,낱말,
showing｜보여주는,낱말,
shuttle｜셔틀,낱말,
sibling｜형제자매,낱말,
sinking｜가라앉는,낱말,
sixteen｜열여섯,낱말,
skilled｜숙련된,낱말,
smoking｜흡연,낱말,
soldier｜군인,낱말,
somehow｜어떻게든,낱말,
someone｜누군가,낱말,
subject｜주제,낱말,
success｜성공,낱말,
suggest｜제안하다,낱말,
summary｜요약,낱말,
support｜지원하다,낱말,
surname｜성(姓),낱말,
survive｜살아남다,낱말,
suspect｜의심하다,낱말,
teacher｜교사,낱말,
teacher｜선생님,낱말,
telling｜말하는것,낱말,
tension｜긴장,낱말,
thermal｜열의,낱말,
thought｜생각했다,낱말,
through｜통해서,낱말,
tightly｜꽉,낱말,
tonight｜오늘밤,낱말,
totally｜완전히,낱말,
tourism｜관광,낱말,
tourist｜관광객,낱말,
towards｜향해서,낱말,
trading｜거래하는,낱말,
traffic｜교통,낱말,
trained｜훈련된,낱말,
trouble｜문제,낱말,
turning｜돌리는,낱말,
typical｜전형적인,낱말,
uniform｜유니폼,낱말,
unknown｜알려지지않은,낱말,
usually｜보통,낱말,
various｜다양한,낱말,
vehicle｜차량,낱말,
version｜버전,낱말,
village｜마을,낱말,
violent｜폭력적인,낱말,
visible｜보이는,낱말,
visited｜방문했다,낱말,
volcano｜화산,낱말,
wanting｜원하는,낱말,
warming｜따뜻해지는,낱말,
warning｜경고,낱말,
weather｜날씨,낱말,
website｜웹사이트,낱말,
weekend｜주말,낱말,
welfare｜복지,낱말,
western｜서쪽의,낱말,
willing｜기꺼이,낱말,
winning｜이기는,낱말,
without｜없이,낱말,
worried｜걱정된,낱말,
writing｜글쓰기,낱말,
younger｜더어린,낱말,
Festival｜축제,낱말,
absolute｜절대적인,낱말,
accepted｜받아들여진,낱말,
accident｜사고,낱말,
accurate｜정확한,낱말,
achieved｜달성된,낱말,
activate｜활성화하다,낱말,
actually｜실제로,낱말,
addicted｜중독된,낱말,
admitted｜인정된,낱말,
adoption｜입양,낱말,
advanced｜고급의,낱말,
affected｜영향받은,낱말,
affirmed｜확인된,낱말,
afforded｜감당된,낱말,
agitated｜흥분한,낱말,
alarming｜놀라운,낱말,
allergic｜알레르기의,낱말,
alliance｜동맹,낱말,
allowing｜허용하는,낱말,
although｜비록,낱말,
annually｜매년,낱말,
answered｜대답했다,낱말,
anything｜무엇이든,낱말,
anywhere｜어디든,낱말,
appealed｜호소했다,낱말,
appeared｜나타났다,낱말,
appetite｜식욕,낱말,
applause｜박수갈채,낱말,
attached｜첨부된,낱말,
attacked｜공격받은,낱말,
attended｜참석했다,낱말,
attitude｜태도,낱말,
attracts｜끌어당기다,낱말,
balanced｜균형잡힌,낱말,
basement｜지하실,낱말,
bathroom｜욕실,낱말,
becoming｜되어가는,낱말,
behavior｜행동,낱말,
birthday｜생일,낱말,
blankets｜담요들,낱말,
bleeding｜출혈,낱말,
blossoms｜꽃피다,낱말,
breaking｜부수는,낱말,
breathed｜숨쉬었다,낱말,
building｜건물,낱말,
calendar｜달력,낱말,
campaign｜캠페인,낱말,
captured｜포착된,낱말,
carefree｜걱정없는,낱말,
careless｜부주의한,낱말,
carrying｜나르는,낱말,
catching｜잡는,낱말,
category｜범주,낱말,
cautious｜조심스러운,낱말,
centered｜중심의,낱말,
ceremony｜의식,낱말,
champion｜챔피언,낱말,
changing｜변화하는,낱말,
chapters｜장들,낱말,
charging｜충전하는,낱말,
cheerful｜명랑한,낱말,
chemical｜화학물질,낱말,
children｜아이들,낱말,
choosing｜선택하는,낱말,
civilize｜문명화하다,낱말,
climbing｜오르는,낱말,
clothing｜의류,낱말,
collapse｜붕괴하다,낱말,
colorful｜색채풍부한,낱말,
combined｜결합된,낱말,
comeback｜귀환,낱말,
complete｜완전한,낱말,
composed｜침착한,낱말,
computer｜컴퓨터,낱말,
conclude｜결론짓다,낱말,
confused｜혼란스러운,낱말,
consider｜고려하다,낱말,
constant｜일정한,낱말,
consumer｜소비자,낱말,
continue｜계속하다,낱말,
contrast｜대조하다,낱말,
convince｜설득하다,낱말,
cookbook｜요리책,낱말,
covering｜덮는,낱말,
creating｜만드는,낱말,
creative｜창의적인,낱말,
criminal｜범죄자,낱말,
criteria｜기준,낱말,
crossing｜교차하는,낱말,
cultural｜문화적인,낱말,
customer｜고객,낱말,
darkness｜어둠,낱말,
database｜데이터베이스,낱말,
daughter｜딸,낱말,
deadline｜마감기한,낱말,
decision｜결정,낱말,
declared｜선언된,낱말,
decrease｜감소하다,낱말,
defeated｜패배한,낱말,
defenses｜방어들,낱말,
definite｜확실한,낱말,
delicate｜섬세한,낱말,
delivery｜배달,낱말,
demanded｜요구했다,낱말,
departed｜떠난,낱말,
describe｜묘사하다,낱말,
deserved｜받을만한,낱말,
detailed｜상세한,낱말,
detected｜감지된,낱말,
diagnose｜진단하다,낱말,
dialogue｜대화,낱말,
directly｜직접적으로,낱말,
disabled｜장애가있는,낱말,
disagree｜동의하지않다,낱말,
disaster｜재난,낱말,
discount｜할인,낱말,
discover｜발견하다,낱말,
displace｜이동시키다,낱말,
distance｜거리,낱말,
distinct｜뚜렷한,낱말,
distract｜집중방해하다,낱말,
district｜지역,낱말,
division｜나눔,낱말,
document｜문서,낱말,
dominant｜지배적인,낱말,
dramatic｜극적인,낱말,
dreaming｜꿈꾸는,낱말,
dressing｜드레싱,낱말,
drinking｜마시는,낱말,
duration｜기간,낱말,
educated｜교육받은,낱말,
eighteen｜열여덟,낱말,
election｜선거,낱말,
elevator｜엘리베이터,낱말,
embedded｜내장된,낱말,
emerging｜떠오르는,낱말,
employed｜고용된,낱말,
employee｜직원,낱말,
enclosed｜동봉된,낱말,
engaging｜매력적인,낱말,
engineer｜엔지니어,낱말,
enormous｜거대한,낱말,
envelope｜봉투,낱말,
equipped｜갖춰진,낱말,
estimate｜추정하다,낱말,
evaluate｜평가하다,낱말,
everyday｜매일의,낱말,
everyone｜모든사람,낱말,
evidence｜증거,낱말,
excluded｜제외된,낱말,
exercise｜운동하다,낱말,
expected｜예상된,낱말,
expenses｜비용들,낱말,
exported｜수출된,낱말,
extended｜연장된,낱말,
faithful｜충실한,낱말,
familiar｜친숙한,낱말,
favorite｜좋아하는,낱말,
features｜특징들,낱말,
feedback｜피드백,낱말,
feminine｜여성스러운,낱말,
finished｜완료된,낱말,
flexible｜유연한,낱말,
followed｜따랐다,낱말,
football｜축구,낱말,
fourteen｜열넷,낱말,
fraction｜분수,낱말,
friendly｜친근한,낱말,
function｜기능,낱말,
gardener｜정원사,낱말,
generate｜생성하다,낱말,
generous｜관대한,낱말,
graduate｜졸업하다,낱말,
grateful｜감사한,낱말,
greatest｜가장위대한,낱말,
grounded｜지상의,낱말,
grouping｜그룹화,낱말,
guidance｜안내,낱말,
handmade｜수제의,낱말,
happened｜일어났다,낱말,
hardware｜하드웨어,낱말,
headline｜헤드라인,낱말,
homeless｜노숙자,낱말,
honestly｜솔직하게,낱말,
hospital｜병원,낱말,
humidity｜습도,낱말,
identify｜확인하다,낱말,
imagined｜상상된,낱말,
immortal｜불멸의,낱말,
impacted｜영향받은,낱말,
included｜포함된,낱말,
increase｜증가하다,낱말,
indicate｜나타내다,낱말,
industry｜산업,낱말,
informal｜비공식적인,낱말,
informed｜알려진,낱말,
innocent｜무죄의,낱말,
inspired｜영감받은,낱말,
interest｜관심,낱말,
involved｜관여된,낱말,
isolated｜고립된,낱말,
jealousy｜질투,낱말,
knitting｜뜨개질,낱말,
language｜언어,낱말,
launched｜출시된,낱말,
learning｜배우는것,낱말,
likewise｜마찬가지로,낱말,
limiting｜제한하는,낱말,
listener｜청취자,낱말,
literary｜문학의,낱말,
location｜위치,낱말,
lonesome｜외로운,낱말,
longtime｜오랫동안의,낱말,
lunchbox｜도시락,낱말,
marriage｜결혼,낱말,
matching｜매칭하는,낱말,
material｜재료,낱말,
medicine｜약,낱말,
mentally｜정신적으로,낱말,
migraine｜편두통,낱말,
minority｜소수,낱말,
moderate｜중간의,낱말,
momentum｜추진력,낱말,
moreover｜게다가,낱말,
moreover｜더욱이,낱말,
mortgage｜모기지,낱말,
mountain｜산,낱말,
movement｜운동,낱말,
multiply｜곱하다,낱말,
mushroom｜버섯,낱말,
negative｜부정적인,낱말,
notebook｜공책,낱말,
numerous｜수많은,낱말,
nutrient｜영양소,낱말,
obstacle｜장애물,낱말,
obtained｜얻어진,낱말,
occurred｜발생했다,낱말,
offering｜제공하는,낱말,
official｜공식적인,낱말,
openness｜개방성,낱말,
opposite｜반대의,낱말,
optional｜선택적인,낱말,
ordinary｜평범한,낱말,
organize｜정리하다,낱말,
original｜원본의,낱말,
outcomes｜결과들,낱말,
outdoors｜야외,낱말,
overcome｜극복하다,낱말,
overlook｜간과하다,낱말,
overseas｜해외의,낱말,
packages｜패키지들,낱말,
painting｜그림,낱말,
paradise｜천국,낱말,
patience｜인내심,낱말,
peaceful｜고요한,낱말,
peaceful｜평화로운,낱말,
peculiar｜특이한,낱말,
personal｜개인적인,낱말,
physical｜신체적인,낱말,
planning｜계획하는,낱말,
platform｜플랫폼,낱말,
pleasant｜쾌적한,낱말,
pleasure｜즐거움,낱말,
politics｜정치,낱말,
portrait｜초상화,낱말,
positive｜긍정적인,낱말,
possible｜가능한,낱말,
powerful｜강력한,낱말,
practice｜연습하다,낱말,
presence｜존재감,낱말,
previous｜이전의,낱말,
printing｜인쇄하는,낱말,
priority｜우선순위,낱말,
probable｜가능성있는,낱말,
proceeds｜수익금,낱말,
property｜재산,낱말,
proposal｜제안,낱말,
protocol｜프로토콜,낱말,
provided｜제공된,낱말,
province｜지방,낱말,
publicly｜공개적으로,낱말,
purchase｜구매하다,낱말,
pursuing｜추구하는,낱말,
reaching｜도달하는,낱말,
reaction｜반응,낱말,
realized｜깨달았다,낱말,
received｜받았다,낱말,
recently｜최근에,낱말,
recovery｜회복,낱말,
reducing｜줄이는,낱말,
referred｜언급된,낱말,
reformed｜개혁된,낱말,
register｜등록하다,낱말,
rejected｜거부된,낱말,
relative｜친척,낱말,
released｜출시된,낱말,
relieved｜안도된,낱말,
remained｜남아있었다,낱말,
replaced｜교체된,낱말,
reported｜보고된,낱말,
requires｜필요하다,낱말,
reserved｜예약된,낱말,
resolved｜해결된,낱말,
resource｜자원,낱말,
restored｜복원된,낱말,
revealed｜드러났다,낱말,
reversed｜역전된,낱말,
rewarded｜보상받은,낱말,
romantic｜낭만적인,낱말,
rooftops｜옥상들,낱말,
rotating｜회전하는,낱말,
schedule｜일정,낱말,
security｜보안,낱말,
selected｜선택된,낱말,
sensible｜분별있는,낱말,
sentence｜문장,낱말,
sequence｜순서,낱말,
shopping｜쇼핑,낱말,
sidewalk｜보도,낱말,
singular｜단수의,낱말,
skeleton｜뼈대,낱말,
sleeping｜자는것,낱말,
slightly｜약간,낱말,
smuggled｜밀수된,낱말,
snapshot｜스냅샷,낱말,
sociable｜사교적인,낱말,
software｜소프트웨어,낱말,
solution｜해결책,낱말,
somebody｜누군가,낱말,
sometime｜언젠가,낱말,
somewhat｜다소,낱말,
specific｜특정한,낱말,
spending｜소비하는,낱말,
spinning｜돌리는,낱말,
sporting｜스포츠의,낱말,
standard｜기준,낱말,
standing｜서있는,낱말,
starting｜시작하는,낱말,
strength｜힘/강도,낱말,
stretchy｜늘어나는,낱말,
struggle｜투쟁하다,낱말,
studying｜공부하는,낱말,
suburban｜교외의,낱말,
suddenly｜갑자기,낱말,
suitable｜적합한,낱말,
sunshine｜햇빛,낱말,
superior｜우월한,낱말,
supplies｜공급품,낱말,
supposed｜가정된,낱말,
swimming｜수영하는,낱말,
sympathy｜동정심,낱말,
teaching｜가르치는,낱말,
terminal｜터미널,낱말,
thankful｜감사한,낱말,
thinking｜생각하는,낱말,
thousand｜천,낱말,
throwing｜던지는,낱말,
together｜함께,낱말,
tomorrow｜내일,낱말,
touching｜감동적인,낱말,
tracking｜추적하는,낱말,
training｜훈련,낱말,
transfer｜이전하다,낱말,
traveled｜여행했다,낱말,
treasure｜보물,낱말,
tropical｜열대의,낱말,
troubled｜고민하는,낱말,
trusting｜신뢰하는,낱말,
ultimate｜궁극적인,낱말,
umbrella｜우산,낱말,
universe｜우주,낱말,
unlikely｜가능성없는,낱말,
vacation｜휴가,낱말,
valuable｜가치있는,낱말,
villages｜마을들,낱말,
violence｜폭력,낱말,
visiting｜방문하는,낱말,
weakness｜약점,낱말,
